PASS
ok  	github.com/olekukonko/tablewriter	0.284s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	   10030	    114909 ns/op	  87.40 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112188 ns/op	  89.52 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    113708 ns/op	  88.32 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    113233 ns/op	  88.69 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112575 ns/op	  89.21 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112604 ns/op	  89.19 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113731 ns/op	  88.30 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113511 ns/op	  88.48 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113575 ns/op	  88.43 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113746 ns/op	  88.29 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113473 ns/op	  88.51 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    114487 ns/op	  87.72 MB/s	   54024 B/op	      51 allocs/op
PASS
ok  	github.com/olekukonko/tablewriter/pkg/twwarp	14.612s
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwidth
cpu: Apple M2
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8         	  264374	      4533 ns/op	 119.12 MB/s	    1178 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8         	  265746	      4514 ns/op	 119.62 MB/s	    1177 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8         	  263538	      4509 ns/op	 119.75 MB/s	    1178 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8         	  266173	      4510 ns/op	 119.72 MB/s	    1180 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8         	  265224	      4676 ns/op	 115.48 MB/s	    1180 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_NoCache-8         	  265696	      4508 ns/op	 119.80 MB/s	    1177 B/op	       3 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8       	  251047	      4859 ns/op	 111.13 MB/s	    1867 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8       	 1000000	      3945 ns/op	 136.89 MB/s	    1584 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8       	 3504475	      3729 ns/op	 144.81 MB/s	    1474 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8       	 3664098	       635.4 ns/op	 849.84 MB/s	     670 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8       	 3818680	       588.6 ns/op	 917.47 MB/s	     667 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAfalse_CacheMiss-8       	 3761966	       348.7 ns/op	1548.66 MB/s	     583 B/op	       1 allocs/op
