PASS
ok  	github.com/olekukonko/tablewriter	0.819s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	   10630	    111320 ns/op	  90.22 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112981 ns/op	  88.89 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    113419 ns/op	  88.55 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112794 ns/op	  89.04 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112400 ns/op	  89.35 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapString-8             	   10000	    112767 ns/op	  89.06 MB/s	   48488 B/op	      33 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    115098 ns/op	  87.26 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113343 ns/op	  88.61 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113702 ns/op	  88.33 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113547 ns/op	  88.45 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113016 ns/op	  88.86 MB/s	   54024 B/op	      51 allocs/op
BenchmarkWrapStringWithSpaces-8   	   10000	    113206 ns/op	  88.71 MB/s	   54024 B/op	      51 allocs/op
PASS
ok  	github.com/olekukonko/tablewriter/pkg/twwarp	15.179s
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwidth
cpu: Apple M2
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 2953855	       387.1 ns/op	  90.40 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3095179	       387.8 ns/op	  90.24 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3096141	       391.0 ns/op	  89.51 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3090711	       387.2 ns/op	  90.40 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3066110	       387.4 ns/op	  90.35 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8         	 3098689	       389.2 ns/op	  89.92 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 3125685	       440.9 ns/op	  79.39 MB/s	     159 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 6477175	       496.2 ns/op	  70.53 MB/s	     165 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 6019939	       217.7 ns/op	 160.79 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 6231590	       219.2 ns/op	 159.67 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 6245622	       216.2 ns/op	 161.90 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8       	 6109658	       218.8 ns/op	 159.95 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	80977806	        14.73 ns/op	2375.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	80972566	        14.76 ns/op	2371.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	81432532	        14.90 ns/op	2348.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	80644483	        14.85 ns/op	2357.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	81361905	        14.79 ns/op	2365.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8        	81612987	        14.78 ns/op	2368.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 1777732	       682.2 ns/op	  51.30 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 1778122	       672.9 ns/op	  52.01 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 1779956	       674.0 ns/op	  51.93 MB/s	     112 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 1773282	       678.7 ns/op	  51.57 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 1783092	       680.2 ns/op	  51.46 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8          	 1780448	       674.0 ns/op	  51.93 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 1000000	      1027 ns/op	  34.08 MB/s	     333 B/op	       4 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 6891168	       958.3 ns/op	  36.52 MB/s	     227 B/op	       4 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 6165972	       211.7 ns/op	 165.30 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheMiss-8        	 6370098	       217.4 ns/op	 161.02 MB/s	      55 B/op	       1 allocs/op
